name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;947;0;901;3047;1223;3047;1017;0
header;22;103;22;135;1637;135;1637;103
D;953;171;953;188;961;188;961;171
D;992;675;992;691;1001;691;1001;675
B;1008;994;1008;1011;1017;1011;1017;994
A;1081;1097;1081;1109;1089;1109;1089;1097
D;953;1262;953;1289;985;1289;985;1262
B;1048;1489;1048;1506;1075;1506;1075;1489
B;1073;1855;1073;1871;1094;1871;1094;1855
A;957;2146;957;2162;965;2162;965;2146
B;1111;2237;1111;2253;1121;2253;1121;2237
A;1025;2513;1025;2517;1029;2517;1029;2513
D;1047;2513;1047;2529;1056;2529;1056;2513
