name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;860;0;21;3045;797;3045;1641;0
header;52;95;52;130;1638;130;1638;95
A;1483;70;1483;79;1496;79;1496;70
A;814;161;814;186;835;186;835;161
D;1068;302;1068;319;1080;319;1080;302
A;957;578;957;603;975;603;975;578
B;1078;632;1078;647;1089;647;1089;632
A;962;679;962;683;967;683;967;679
A;984;679;984;693;991;693;991;679
A;962;690;962;695;967;695;967;690
B;1090;722;1090;739;1102;739;1102;722
B;814;813;814;839;832;839;832;813
A;789;858;789;862;794;862;794;858
A;1232;862;1232;866;1237;866;1237;862
A;1233;874;1233;883;1238;883;1238;874
B;1016;998;1016;1014;1024;1014;1024;998
A;859;1021;859;1021;859;1021;859;1021
A;634;1040;634;1045;639;1045;639;1040
A;832;1374;832;1374;832;1374;832;1374
B;1079;1406;1079;1424;1091;1424;1091;1406
C;813;1482;813;1509;832;1509;832;1482
A;476;1540;476;1545;481;1545;481;1540
A;630;1998;630;1998;631;1998;631;1998
D;811;2155;811;2182;833;2182;833;2155
A;198;2576;198;2576;198;2576;198;2576
